cailianpress.com	11.796926785104553	3958	1719	41623	0	481000	48	2
companies.caixin.com	11.999059339398361	869	62	None	0	83700	8230	3
company.cnstock.com	12.169514466246856	803	434	None	0	69200	0	3
news.cheaa.com	12.294689210605277	368	1	5277	0	167000	52	2
stock.zdcj.net	12.308098348153873	7115	3748	240164	0	50900	35	3
fortune.chinanews.com	12.341283552469609	114	32	4223	0	193000	0	2
finance.caixin.com	12.408119379801352	873	9	None	0	62400	0	3
lieyunwang.com	12.416027396858588	1440	566	29002	0	294000	70	2
jigou.cngold.org	12.848402966117373	463	252	16775	0	186000	0	2
cang.cngold.org	12.868075747214878	1287	27	16775	0	143000	9	2
news.mbalib.com	13.032018334605418	82	26	4713	0	119000	34	2
opinion.caixin.com	13.072783365780673	1169	40	None	0	28300	0	3
roll.finance.qq.com	13.114067450451635	0	0	9	0	0	0	6
people.pedaily.cn	13.159054856624852	843	507	None	0	24800	41	3
biz.eastmoney.com	13.591287160944017	101	27	4491	0	47700	13500	2
quamnet.com	13.722958409486672	80	56	104371	0	577000	71800	2
hongzhoukan.com	13.726897958694867	1126	549	980521	0	80200	21	3
money.stockstar.com	14.039643268506833	386	33	None	0	291000	810	2
house.cnfol.com	14.114811214552965	66	41	None	0	466000	0	2
yuanfangcaijing.com	14.148424606346484	3641	2214	266797	0	200000	14	2
yuanchuang.10jqka.com.cn	14.239509180922592	1076	775	None	0	129000	2990	2
ysslc.com	14.308825509591006	2152	1284	969681	0	592000	8	2
rs.p5w.net	14.441281415143955	3268	1804	25554	0	24200	0	2
imeigu.com	14.556010252956703	280	46	None	192453	0	0	2
stock.xinhua08.com	14.574236298294714	632	379	199536	0	209000	13	2
ntt.nbd.com.cn	14.732000907537252	24	8	27922	145567	0	0	2
economy.caixin.com	14.767326135048776	369	154	None	0	129000	14	2
stats.gov.cn	14.924552316392335	38176	9248	None	0	0	0	7
laohucaijing.com	15.091218899222092	207	59	86678	0	109000	0	2
forex.123.com.cn	15.226534405529346	19	11	18364	71844	53500	3	0
fund.cfi.cn	15.3047299916661	1159	467	None	0	47900	9	2
international.caixin.com	15.330920468074645	761	44	None	0	61800	11	2
info.glinfo.com	15.564732080438887	275	193	1425296	0	509000	0	2
1nongjing.com	15.595552190246671	349	242	472927	0	186000	30	2
dc.xinhua08.com	15.637789811569476	507	307	199536	0	4430	0	3
jrzj.com	15.889081474302982	1376	718	None	0	152000	1240000	1
yn.com	16.012248294600344	560	311	181641	0	187000	2630000	1
neeq.com.cn	16.187898317458398	8307	2107	None	0	0	56	4
finance.17ok.com	16.307054528649616	9	3	426	0	88800	25	1
news.fx678.com	16.419361181943206	1923	671	None	0	712000	39900	1
fmprc.gov.cn	16.55252924159277	16952	8225	15295	0	0	0	5
infomorning.com	16.733488645685572	192	158	None	0	21200	0	2
home.kpmg.com	16.907176045679186	3060	796	None	0	6750	81	2
jjxww.com	16.916564923294896	688	477	None	0	24800	605000	1
forex.cngold.com.cn	17.130690268470545	2230	36	54281	0	239000	15	1
shfinancialnews.com	17.274118818396754	236	103	1777351	0	125000	0	2
ndrc.gov.cn	17.35507163296391	8391	4166	29456	0	0	0	5
zhongyi9999.com	17.402403263708504	1938	1411	344934	0	583000	101000	1
economist.com	17.419854283316432	3966	2036	2261	0	0	0	4
column.caijing.com.cn	17.62770292506188	77	37	226	0	5960	10	1
circ.gov.cn	17.890292112547247	14705	6248	74285	0	0	0	5
zhitongcaijing.com	17.911055905727213	1120	675	None	0	196000	0	1
csrc.gov.cn	18.039584959767534	19864	6279	None	0	0	0	5
goodsfu.10jqka.com.cn	18.110308328047186	96	8	None	0	500000	0	1
stock.cfi.cn	18.231330127029047	75	10	None	0	8320	0	2
safe.gov.cn	18.315028149071363	8140	2097	88298	0	0	0	5
global.123.com.cn	18.405179849225117	7	2	18364	15420	16300	20	0
gold.cngold.com.cn	18.56860713854387	595	229	54281	0	85000	24	1
gold.gucheng.com	18.59099976393357	285	48	None	0	3350	24	2
finance.nbd.com.cn	18.5934701489908	0	0	27922	0	12400	0	2
jpm.cn	18.63886440745585	1845	947	140422	0	104000	91	1
moer.cn	18.692228469698662	1109	498	None	0	93800	0	1
xg.stock.cnfol.com	18.783467075561745	324	137	None	0	141000	6	1
stock.laoqianzhuang.com	18.790135723094494	147	9	293208	0	510000	13	1
ey.com	18.802922920043617	2445	942	9570	0	0	0	4
fastcompany.com	19.231314234313615	0	0	None	0	0	0	7
cnbc.com	19.231314234313615	0	0	None	0	0	0	7
nyse.com	19.231314234313615	0	0	None	0	0	0	7
money.laoqianzhuang.com	19.55012857976516	67	41	293208	0	276000	0	1
